Topic,Count,Name,Representation,Representative_Docs
-1,39802,-1_climate_energy_change_global,"['climate', 'energy', 'change', 'global', 'emissions', 'carbon', 'warming', 'power', 'water', 'ice']","['For instance, Mercer published a study in 1978 predicting that anthropogenic carbon dioxide warming and its potential effects on climate in the 21st century could cause a sea level rise of around 5 metres (16\xa0ft) from melting of the West Antarctic ice-sheet alone.', ""In 2008, Spencer and William Braswell published a paper in the Journal of Climate which suggests that natural variations in how clouds form could actually be causing temperature changes, rather than the other way around, and could also lead to overestimates of how sensitive the Earth's climate is to greenhouse gas emissions."", 'These may use electricity, natural gas, propane, heating oil, solar, or other energy sources.']"
0,1494,0_species_extinction_threatened_habitat,"['species', 'extinction', 'threatened', 'habitat', 'endangered', 'genetic', 'ecosystem', 'biodiversity', 'conservation', 'diversity']","['The species is threatened by habitat loss and agricultural activities.', 'Habitat fragmentation is often a cause of species becoming threatened or endangered.', 'Of these, about one eighth of known plant species are threatened with extinction.']"
1,1290,1_star_asteroid_sun_orbit,"['star', 'asteroid', 'sun', 'orbit', 'stars', 'light', 'distance', 'magnitude', 'constellation', 'galaxy']","[""According to the NEOWISE mission of NASA 's Wide-field Infrared Survey Explorer, the Jovian asteroid measures 51.7 kilometers in diameter and its surface has an albedo of 0.060, while the Collaborative Asteroid Lightcurve Link assumes a standard albedo for carbonaceous asteroids of 0.057 and calculates a diameter of 50.8 kilometers, based on an absolute magnitude of 10.2."", 'HD 190647 is a yellow subgiant star located approximately 177 light years away in the constellation of Sagittarius.', 'HD 192699 is a yellow subgiant star located approximately 214 light-years away in the constellation of Aquila.']"
2,733,2_forest_deforestation_trees_forests,"['forest', 'deforestation', 'trees', 'forests', 'marshes', 'tree', 'forestry', 'wetlands', 'habitats', 'reforestation']","[""The underlying idea is that developing nations should be financially compensated if they succeed in reducing their levels of deforestation (through valuing the carbon that is stored in forests); a concept termed 'avoided deforestation (AD) or, REDD if broadened to include reducing forest degradation (see Reducing emissions from deforestation and forest degradation)."", 'This is a forest so important to forest ecosystems that it is called the “rooftop of the rockies”.', 'Then deforestation rates accelerate (HFHD, high forest cover – high deforestation rate), and forest cover is reduced (LFHD, low forest cover – high deforestation rate), before the deforestation rate slows (LFLD, low forest cover – low deforestation rate), after which forest cover stabilizes and eventually starts recovering.']"
3,665,3_water_groundwater_scarcity_irrigation,"['water', 'groundwater', 'scarcity', 'irrigation', 'sanitation', 'wastewater', 'supply', 'drinking', 'aquifers', 'management']","[""Physical water scarcity results from inadequate natural water resources to supply a region's demand, and economic water scarcity results from poor management of the sufficient available water resources."", 'water supply (drinking water, waste water/sewage, stemming of surface water (e.g. dikes and sluices)) ;', 'Water scarcity is the lack of fresh water resources to meet water demand.']"
4,542,4_nuclear_power_reactors_radioactive,"['nuclear', 'power', 'reactors', 'radioactive', 'accident', 'radiation', 'disaster', 'weapons', 'accidents', 'reactor']","['On the other hand, power reactors can also reduce nuclear weapons arsenals when military grade nuclear materials are reprocessed to be used as fuel in nuclear power plants.', 'Public concerns about nuclear power include the fate of spent nuclear fuel, nuclear accidents, security risks, nuclear proliferation, and a concern that nuclear power plants are very expensive.', 'The reactors are intended for use in nuclear power plants to produce nuclear power from nuclear fuel.']"
5,537,5_records_song_record_album,"['records', 'song', 'record', 'album', 'music', 'songs', 'recording', 'recorded', 'label', 'released']","['The album was later released through iTunes worldwide by the Finnish record label Symbolic Records.', 'The album was to be released under Jive Records, after RCA Music Group shut it down along with Arista Records and J Records, all prior signees (Travis Porter included) switched over to the RCA Records brand.', 'The song was released by Roc-A-Fella Records and produced by West for Konman Productions.']"
6,532,6_event_ended_season_began,"['event', 'ended', 'season', 'began', 'place', 'took', 'events', 'held', '2016', 'started']","['The season began on April 4 and ended on November 14.', 'The season began on 13 July 2013 and ended on 25 May 2014.', 'The season began on 6 August 2016 and ended on 31 May 2017.']"
7,525,7_oil_crude_production_petroleum,"['oil', 'crude', 'production', 'petroleum', 'reserves', 'barrels', 'prices', 'gas', 'price', 'peak']","[""All of Hubbert's analyses of peak oil specifically excluded oil manufactured from oil shale or mined from oil sands."", 'Williams extracted 1.5 million litres of crude oil by 1860, refining much of it into kerosene lamp oil.', ""In 2010 of oil was dumped into the Gulf of Mexico when BP's Deepwater Horizon oil rig exploded.""]"
8,495,8_war_attacks_military_al,"['war', 'attacks', 'military', 'al', 'terrorism', 'forces', 'terrorist', 'attack', 'conflict', 'security']","['Apart from its main focus on World War II, it has been adapted to the Spanish Civil War, the Falklands War and the Korean War.', 'There is no tension here, no jarring forces at war with each other.', 'The War on Terrorism, like some previous wars involving the United States (particularly World War II and the Cold War), is a conflict between good and evil.']"
9,457,9_highway_road_route_street,"['highway', 'road', 'route', 'street', 'west', 'east', 'north', 'freeway', 'lane', 'south']","['It is bounded on the west by 231 Street NW, north by the Hawks Ridge neighbourhood, east by 215 Street NW (Winterburn Road), and south by Yellowhead Trail (Highway 16).', 'It is bounded by Canning Highway to the north, the Canning River to the east, Cranford Avenue, Moolyeen Road and Canning Avenue to the south, and Rogerson Road, Coomoora Road, Henley Road and Ardross Street to the west.', 'Local east-west highways that serve the region include Stearns Road, U.S. Route 20 (Lake Street), Illinois Route 19 (Irving Park Road), Thorndale Avenue, Biesterfield Road, Devon Avenue, Illinois Route 72 (Higgins Road and Touhy Avenue), Schaumburg Road, Illinois Route 58 (Golf Road), Illinois Route 62 (Algonquin Road), Kirchoff Road, Dempster Street, Oakton Street, Euclid Avenue, Central Avenue, U.S. Route 14 (Northwest Highway/Ronald Reagan Highway), U.S. Route 12 (Rand Road), Palatine Road, Illinois Route 68 (Dundee Road), Huntley Road, and Big Timber Road.']"
